year,semester,id,"Course Name",credit,Credit_full,major,program,english_level,version,Program_fullname
-1,-1,IT561_1,"Thesis (Research)",32,"32 (0, 32)",ISM,ISM_RS_2020,"Toefl >= 500 - AE1",2020,"ISM_RS_2020-2020-Toefl >= 500 - AE1"
-1,-1,IT561_1,"Thesis (Research)",32,"32 (0, 32)",NES,NES_RS_2020,"Toefl >= 500 - AE1",2020,"NES_RS_2020-2020-Toefl >= 500 - AE1"
1,1,PT001,"Physical Training 1",3,"3 (3, 0)",CS,CS_2020,IE3,2020,CS_2020-2020-IE3
1,1,ENTP01,"Intensive English 1",17,"17 (17, 0)",CS,CS_2020_1,"Toefl < 430 IE1",2020,"CS_2020_1-2020-Toefl < 430 IE1"
1,1,ENTP02,"Intensive English 2",13,"13 (13, 0)",CS,CS_2020_1,"Toefl < 430 IE1",2020,"CS_2020_1-2020-Toefl < 430 IE1"
1,1,ENTP02,"Intensive English 2",13,"13 (13, 0)",CS,CS_2020_1,"500> Toefl >= 430 IE2",2020,"CS_2020_1-2020-500> Toefl >= 430 IE2"
1,1,ENTP03,"Intensive English 3",10,"10 (10, 0)",CS,CS_2020_1,"500> Toefl >= 430 IE2",2020,"CS_2020_1-2020-500> Toefl >= 430 IE2"
1,1,CH011,"Chemistry for Engineer",3,"3 (3, 0)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
1,1,CH012,"Chemistry Laboratory",1,"1 (0, 1)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
1,1,EN007,"Writing AE1",2,"2 (2, 0)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
1,1,EN008,"Listening AE1",2,"2 (2, 0)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
1,1,IT064,"Introduction to Computing",3,"3 (3, 0)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
1,1,MA001,"Calculus 1",4,"4 (4, 0)",CS,CS_2020_1,"Toefl >= 500 - AE1",2020,"CS_2020_1-2020-Toefl >= 500 - AE1"
